Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFCÐ22 Production from HFCÐ23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems Ð Offshore Production,Petroleum and Natural Gas Systems Ð Processing,Petroleum and Natural Gas Systems Ð Transmission/Compression,Petroleum and Natural Gas Systems Ð Underground Storage,Petroleum and Natural Gas Systems Ð LNG Storage,Petroleum and Natural Gas Systems Ð LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,
1001030,110000592813,Gibson,OWENSVILLE,IN,47665,1097 N 950 W,Gibson,38.3722,-87.7661,221112,"C,D",Power Plants,"17,998,106.34","17,853,899.10","52,749.25","91,457.99",,,,,,,,,,616.94,"17,997,489.40",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1001051,110007356066,Scherer,JULIETTE,GA,31046,10986 HIGHWAY 87,Monroe,33.06,-83.81,221112,"C,D",Power Plants,"17,992,682.09","17,851,672.30","51,578.50","89,431.29",,,,,,,,,,0.30,"17,992,681.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001037,110000747924,Rockport,ROCKPORT,IN,47635,2791 NORTH US ROUTE 231,Spencer,37.93,-87.04,221112,"C,D",Power Plants,"17,894,711.92","17,754,448.10","51,305.75","88,958.07",,,,,,,,,,"5,179.67","17,889,532.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000676,110000405927,Monroe,MONROE,MI,48161,3500 FRONT ST,Monroe,41.8917,-83.3461,221112,"C,D",Power Plants,"17,855,009.87","17,714,051.50","51,554.50","89,403.87",,,,,,,,,,"10,707.98","17,844,301.90",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1006868,110000608254,W A Parish,THOMPSONS,TX,77469,YU JONES RD,Fort Bend,29.48,-95.64,221112,"C,D",Power Plants,"17,730,966.26","17,596,091.20","49,394.65","85,480.41",,,,,,,,,,"13,906.80","17,717,059.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001051,110007356066,Scherer,JULIETTE,GA,31046,10986 HIGHWAY 87,Monroe,33.06,-83.81,221112,"C,D",Power Plants,"17,656,988.74","17,518,622.10","50,611.00","87,755.64",,,,,,,,,,0.10,"17,656,988.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001194,110043788327,Gen J M Gavin,CHESHIRE,OH,45620,OHIO ROUTE 7,Gallia,38.93,-82.12,221112,"C,D",Power Plants,"17,655,107.88","17,516,740.30","50,610.75","87,756.83",,,,,,,,,,"9,154.05","17,645,953.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000192,110000440470,Labadie,LABADIE,MO,63055,226 LABADIE POWER PLANT ROAD,Franklin,38.5583,-90.8361,221112,D,Power Plants,"17,369,494.65","17,233,323.90","49,809.75","86,361.00",,,,,,,,,,,"17,369,494.65",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1000999,110028287725,Navajo Generating Station,PAGE,AZ,86040,,Coconino,36.90,-111.39,221112,"C,D",Power Plants,"17,248,449.46","17,110,250.20","50,551.50","87,647.76",,,,,,,,,,395.79,"17,248,053.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001020,110041982520,Colstrip,COLSTRIP,MT,59323,1 WAREHOUSE ROAD,Rosebud,45.8831,-106.614,221112,D,Power Plants,"17,124,698.70","16,994,687.10","47,555.00","82,456.60",,,,,,,,,,,"17,124,698.70",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
